slot_000001 | prov_001 | Allison Hill | Therapy | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000217 | prov_078 | Megan Young | Therapy | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000218 | prov_079 | Steve Sanchez | Therapy | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000219 | prov_083 | Michael Evans | Psychiatry | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000220 | prov_084 | Paul Jones | Therapy | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000221 | prov_084 | Paul Jones | Therapy | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000222 | prov_085 | Zachary Ferrell | Therapy | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000223 | prov_085 | Zachary Ferrell | Therapy | 2025-09-03 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000224 | prov_086 | Daniel Baker | Therapy | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000225 | prov_087 | Shirley Suarez | Both | 2025-09-03 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000226 | prov_087 | Shirley Suarez | Both | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000227 | prov_090 | Aimee Montoya | Therapy | 2025-09-03 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000228 | prov_091 | Matthew Mcmillan | Therapy | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000229 | prov_091 | Matthew Mcmillan | Therapy | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000230 | prov_092 | Brian Rodriguez | Psychiatry | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000231 | prov_094 | Christina Walters | Psychiatry | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000232 | prov_094 | Christina Walters | Psychiatry | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000233 | prov_095 | John Whitehead | Both | 2025-09-03 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000234 | prov_095 | John Whitehead | Both | 2025-09-03 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000235 | prov_097 | Aaron Wise | Therapy | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000236 | prov_097 | Aaron Wise | Therapy | 2025-09-03 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000237 | prov_098 | Deborah Figueroa | Therapy | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000238 | prov_099 | Jessica Smith | Both | 2025-09-03 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000239 | prov_099 | Jessica Smith | Both | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000240 | prov_100 | Stephen Mckee | Psychiatry | 2025-09-03 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000241 | prov_001 | Allison Hill | Therapy | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000242 | prov_001 | Allison Hill | Therapy | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000243 | prov_002 | Noah Rhodes | Therapy | 2025-09-04 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000244 | prov_004 | Daniel Wagner | Both | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000245 | prov_005 | Cristian Santos | Psychiatry | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000246 | prov_006 | Connie Lawrence | Therapy | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000247 | prov_007 | Abigail Shaffer | Both | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000248 | prov_008 | Gina Moore | Therapy | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000249 | prov_009 | Gabrielle Davis | Both | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000250 | prov_010 | Ryan Munoz | Both | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000251 | prov_010 | Ryan Munoz | Both | 2025-09-04 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000252 | prov_013 | Lisa Hensley | Both | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000253 | prov_013 | Lisa Hensley | Both | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000254 | prov_014 | Michele Williams | Psychiatry | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000255 | prov_017 | Holly Wood | Psychiatry | 2025-09-04 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000256 | prov_018 | Derek Zuniga | Therapy | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000257 | prov_018 | Derek Zuniga | Therapy | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000258 | prov_019 | Lisa Jackson | Therapy | 2025-09-04 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000259 | prov_019 | Lisa Jackson | Therapy | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000260 | prov_020 | Carla Gray | Both | 2025-09-04 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000261 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000262 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000263 | prov_022 | Patty Perez | Both | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000264 | prov_023 | Ethan Adams | Both | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000265 | prov_024 | Tommy Walter | Both | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000266 | prov_024 | Tommy Walter | Both | 2025-09-04 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000267 | prov_027 | Justin Baker | Psychiatry | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000268 | prov_029 | Zachary Hicks | Both | 2025-09-04 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000269 | prov_031 | Rebecca Henderson | Therapy | 2025-09-04 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000270 | prov_032 | James Ferrell | Therapy | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000271 | prov_033 | Tricia Valencia | Therapy | 2025-09-04 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000272 | prov_034 | Nathan Maldonado | Therapy | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000273 | prov_035 | Debra Davidson | Both | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000274 | prov_037 | Sherri Baker | Therapy | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000275 | prov_039 | Elizabeth Fowler | Both | 2025-09-04 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000276 | prov_040 | Brittany Farmer | Psychiatry | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000277 | prov_041 | Paula Moreno | Psychiatry | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000278 | prov_042 | Fred Smith | Therapy | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000279 | prov_043 | Sherry Decker | Psychiatry | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000280 | prov_044 | Anthony Humphrey | Psychiatry | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000281 | prov_046 | Philip Cannon | Psychiatry | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000282 | prov_047 | John Pierce | Both | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000283 | prov_047 | John Pierce | Both | 2025-09-04 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000284 | prov_050 | Eric Carney | Therapy | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000285 | prov_051 | Jessica Holmes | Therapy | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000286 | prov_051 | Jessica Holmes | Therapy | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000287 | prov_052 | Danny Morgan | Therapy | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000288 | prov_053 | Crystal Robinson | Both | 2025-09-04 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000289 | prov_053 | Crystal Robinson | Both | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000290 | prov_055 | Shannon Jones | Therapy | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000291 | prov_055 | Shannon Jones | Therapy | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000292 | prov_057 | Timothy Duncan | Psychiatry | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000293 | prov_058 | Richard Aguirre | Psychiatry | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000294 | prov_062 | Gerald Hensley | Psychiatry | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000295 | prov_062 | Gerald Hensley | Psychiatry | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000296 | prov_063 | Connor West | Both | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000297 | prov_064 | Donald Wright | Both | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000298 | prov_065 | Jessica Callahan | Both | 2025-09-04 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000299 | prov_065 | Jessica Callahan | Both | 2025-09-04 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000300 | prov_067 | Tracy House | Both | 2025-09-04 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000301 | prov_068 | Carol Tucker | Therapy | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000302 | prov_068 | Carol Tucker | Therapy | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000303 | prov_069 | James Brown | Psychiatry | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000304 | prov_069 | James Brown | Psychiatry | 2025-09-04 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000305 | prov_070 | William Baker | Psychiatry | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000306 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000307 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-04 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000308 | prov_072 | Whitney Peters | Psychiatry | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000309 | prov_073 | Brittney Phillips | Psychiatry | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000310 | prov_074 | Lauren Daniels | Psychiatry | 2025-09-04 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000311 | prov_075 | Amy Silva | Both | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000312 | prov_077 | Angela Lopez | Psychiatry | 2025-09-04 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000313 | prov_077 | Angela Lopez | Psychiatry | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000314 | prov_078 | Megan Young | Therapy | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000315 | prov_081 | Kelly Donovan | Psychiatry | 2025-09-04 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000316 | prov_081 | Kelly Donovan | Psychiatry | 2025-09-04 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000317 | prov_082 | Mike Allen | Psychiatry | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000318 | prov_084 | Paul Jones | Therapy | 2025-09-04 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000319 | prov_084 | Paul Jones | Therapy | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000320 | prov_086 | Daniel Baker | Therapy | 2025-09-04 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000321 | prov_087 | Shirley Suarez | Both | 2025-09-04 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000322 | prov_088 | Christopher Bass | Both | 2025-09-04 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000323 | prov_088 | Christopher Bass | Both | 2025-09-04 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000324 | prov_089 | Lisa Archer | Both | 2025-09-04 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000325 | prov_093 | Denise Jacobs | Psychiatry | 2025-09-04 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000326 | prov_093 | Denise Jacobs | Psychiatry | 2025-09-04 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000327 | prov_094 | Christina Walters | Psychiatry | 2025-09-04 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000328 | prov_095 | John Whitehead | Both | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000329 | prov_095 | John Whitehead | Both | 2025-09-04 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000330 | prov_096 | Anna Henderson | Psychiatry | 2025-09-04 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000331 | prov_001 | Allison Hill | Therapy | 2025-09-05 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000332 | prov_002 | Noah Rhodes | Therapy | 2025-09-05 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000333 | prov_005 | Cristian Santos | Psychiatry | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000334 | prov_007 | Abigail Shaffer | Both | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000335 | prov_008 | Gina Moore | Therapy | 2025-09-05 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000336 | prov_009 | Gabrielle Davis | Both | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000337 | prov_010 | Ryan Munoz | Both | 2025-09-05 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000338 | prov_011 | Monica Herrera | Both | 2025-09-05 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000339 | prov_012 | Jamie Arnold | Psychiatry | 2025-09-05 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000340 | prov_013 | Lisa Hensley | Both | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000341 | prov_013 | Lisa Hensley | Both | 2025-09-05 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000342 | prov_015 | Dylan Miller | Psychiatry | 2025-09-05 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000343 | prov_018 | Derek Zuniga | Therapy | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000344 | prov_019 | Lisa Jackson | Therapy | 2025-09-05 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000345 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-05 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000346 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000347 | prov_022 | Patty Perez | Both | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000348 | prov_025 | Matthew Foster | Therapy | 2025-09-05 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000349 | prov_027 | Justin Baker | Psychiatry | 2025-09-05 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000350 | prov_027 | Justin Baker | Psychiatry | 2025-09-05 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000351 | prov_031 | Rebecca Henderson | Therapy | 2025-09-05 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000352 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-05 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000353 | prov_037 | Sherri Baker | Therapy | 2025-09-05 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000354 | prov_038 | Cassandra Gaines | Psychiatry | 2025-09-05 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000355 | prov_038 | Cassandra Gaines | Psychiatry | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000356 | prov_039 | Elizabeth Fowler | Both | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000357 | prov_041 | Paula Moreno | Psychiatry | 2025-09-05 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000358 | prov_041 | Paula Moreno | Psychiatry | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000359 | prov_043 | Sherry Decker | Psychiatry | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000360 | prov_044 | Anthony Humphrey | Psychiatry | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000361 | prov_045 | Angelica Tucker | Psychiatry | 2025-09-05 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000362 | prov_045 | Angelica Tucker | Psychiatry | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000363 | prov_048 | Shane Henderson | Psychiatry | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000364 | prov_048 | Shane Henderson | Psychiatry | 2025-09-05 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000365 | prov_050 | Eric Carney | Therapy | 2025-09-05 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000366 | prov_051 | Jessica Holmes | Therapy | 2025-09-05 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000367 | prov_054 | Mark Perez | Psychiatry | 2025-09-05 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000368 | prov_055 | Shannon Jones | Therapy | 2025-09-05 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000369 | prov_055 | Shannon Jones | Therapy | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000370 | prov_058 | Richard Aguirre | Psychiatry | 2025-09-05 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000371 | prov_059 | Brent Jordan | Therapy | 2025-09-05 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000372 | prov_060 | John Daniel | Therapy | 2025-09-05 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000373 | prov_060 | John Daniel | Therapy | 2025-09-05 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000374 | prov_064 | Donald Wright | Both | 2025-09-05 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000375 | prov_065 | Jessica Callahan | Both | 2025-09-05 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000376 | prov_066 | Amber Kidd | Psychiatry | 2025-09-05 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000377 | prov_067 | Tracy House | Both | 2025-09-05 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000378 | prov_068 | Carol Tucker | Therapy | 2025-09-05 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000379 | prov_068 | Carol Tucker | Therapy | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000380 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-05 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000381 | prov_073 | Brittney Phillips | Psychiatry | 2025-09-05 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000382 | prov_074 | Lauren Daniels | Psychiatry | 2025-09-05 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000383 | prov_075 | Amy Silva | Both | 2025-09-05 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000384 | prov_077 | Angela Lopez | Psychiatry | 2025-09-05 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000385 | prov_077 | Angela Lopez | Psychiatry | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000386 | prov_080 | Lisa Barnes | Therapy | 2025-09-05 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000387 | prov_080 | Lisa Barnes | Therapy | 2025-09-05 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000388 | prov_081 | Kelly Donovan | Psychiatry | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000389 | prov_082 | Mike Allen | Psychiatry | 2025-09-05 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000390 | prov_084 | Paul Jones | Therapy | 2025-09-05 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000391 | prov_085 | Zachary Ferrell | Therapy | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000392 | prov_085 | Zachary Ferrell | Therapy | 2025-09-05 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000393 | prov_089 | Lisa Archer | Both | 2025-09-05 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000394 | prov_090 | Aimee Montoya | Therapy | 2025-09-05 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000395 | prov_091 | Matthew Mcmillan | Therapy | 2025-09-05 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000396 | prov_091 | Matthew Mcmillan | Therapy | 2025-09-05 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000397 | prov_092 | Brian Rodriguez | Psychiatry | 2025-09-05 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000398 | prov_092 | Brian Rodriguez | Psychiatry | 2025-09-05 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000399 | prov_093 | Denise Jacobs | Psychiatry | 2025-09-05 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000400 | prov_093 | Denise Jacobs | Psychiatry | 2025-09-05 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000401 | prov_094 | Christina Walters | Psychiatry | 2025-09-05 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000402 | prov_094 | Christina Walters | Psychiatry | 2025-09-05 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000403 | prov_097 | Aaron Wise | Therapy | 2025-09-05 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000404 | prov_098 | Deborah Figueroa | Therapy | 2025-09-05 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000405 | prov_098 | Deborah Figueroa | Therapy | 2025-09-05 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000406 | prov_099 | Jessica Smith | Both | 2025-09-05 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000407 | prov_100 | Stephen Mckee | Psychiatry | 2025-09-05 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000408 | prov_001 | Allison Hill | Therapy | 2025-09-06 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000409 | prov_003 | Angie Henderson | Psychiatry | 2025-09-06 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000410 | prov_009 | Gabrielle Davis | Both | 2025-09-06 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000411 | prov_011 | Monica Herrera | Both | 2025-09-06 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000412 | prov_011 | Monica Herrera | Both | 2025-09-06 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000413 | prov_012 | Jamie Arnold | Psychiatry | 2025-09-06 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000414 | prov_015 | Dylan Miller | Psychiatry | 2025-09-06 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000415 | prov_022 | Patty Perez | Both | 2025-09-06 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000416 | prov_022 | Patty Perez | Both | 2025-09-06 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000417 | prov_024 | Tommy Walter | Both | 2025-09-06 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000418 | prov_027 | Justin Baker | Psychiatry | 2025-09-06 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000419 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-06 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000420 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-06 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000421 | prov_038 | Cassandra Gaines | Psychiatry | 2025-09-06 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000422 | prov_039 | Elizabeth Fowler | Both | 2025-09-06 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000423 | prov_039 | Elizabeth Fowler | Both | 2025-09-06 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000424 | prov_043 | Sherry Decker | Psychiatry | 2025-09-06 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000425 | prov_044 | Anthony Humphrey | Psychiatry | 2025-09-06 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000426 | prov_048 | Shane Henderson | Psychiatry | 2025-09-06 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000427 | prov_052 | Danny Morgan | Therapy | 2025-09-06 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000428 | prov_052 | Danny Morgan | Therapy | 2025-09-06 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000429 | prov_061 | Victoria Garcia | Therapy | 2025-09-06 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000430 | prov_062 | Gerald Hensley | Psychiatry | 2025-09-06 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000431 | prov_063 | Connor West | Both | 2025-09-06 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000432 | prov_067 | Tracy House | Both | 2025-09-06 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
